[2022-03-20 11:40:24.296] WARN [http-nio-8000-exec-6]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 192909
[2022-03-20 11:41:58.760] WARN [http-nio-8000-exec-6]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 82606
[2022-03-20 11:41:58.907] WARN [http-nio-8000-exec-6]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 83052
[2022-03-20 11:41:59.083] WARN [http-nio-8000-exec-6]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 83357
[2022-03-20 11:43:25.876] WARN [http-nio-8000-exec-8]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 84982
[2022-03-20 11:44:28.963] WARN [http-nio-8000-exec-10]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 61068
[2022-03-20 11:50:03.226] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 332435
[2022-03-20 12:06:23.621] WARN [http-nio-8000-exec-6]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 944411
[2022-03-20 12:15:13.774] WARN [http-nio-8000-exec-9]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 507539
[2022-03-20 12:18:48.150] WARN [http-nio-8000-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 212363
[2022-03-20 12:21:45.781] WARN [http-nio-8000-exec-4]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 175166
[2022-03-20 12:23:30.401] WARN [http-nio-8000-exec-7]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 88349
[2022-03-20 12:25:29.656] WARN [http-nio-8000-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 76698
